date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BH,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,D,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-01-02,24.2151642173,41.3455165667,36.0052207541,72.6602236531,72.34,42.9498802967,2.69,115.6861141368,75.7500644712,15.426,7.6500555365,79.0634459894,113.6072357653,14.1279478305,268.6733333333,30.5596137219,44.8473091654,269.5665163223,40.847379693,40.1637186839,69.0515856035,166.43,52.7606783776,19.276730368,67.3722457518,47.8541489576,113.867817633,58.3699772341,19.5989225299,68.4808151959,69.5577398368,47.9899017145,72.5270467262,54.6103694038,85.3748444504,52.951600061,45.7889384144,8.879797606,146.2311671953,108.1224845966,102.4910422278,65.5511261867,26.8544136341,26.0256982251,26.2593261942,155.5849919601,79.3298875076,71.7326195047,97.4232751999,27.9018506248,82.9741316791,76.5658020906,46.2558313918,29.5817514878,57.397315443,142.8022711652,54.9917517164,79.8715339383,70.2666005863,28.5949325574,53.9980170838,29.4583442108,77.8450881745,96.4593473954,23.6455537102,38.4914971801,28.4611800595,39.7666977406,19.9065799789,4.984852158,41.1207006805,0.4830905327,37.3631866229,67.3005976989,18.3520251811,65.5045275478,46.3105319103,54.0511288989,43.9198570204,32.4349610018,26.3563502782,30.7082220736,106.4615371539,13.1090133006,53.8240427251,123.8025485605,26.2609065961,14.6206666667,39.309967863,83.8538069434,92.3283835679,73.4387286738,30.2378249542,61.2203805747,25.6779601675,39.9727150169,23.1742246234,57.4591230762
2015-01-05,23.5329845247,40.5674251941,36.0132397343,71.4334076301,71.98,42.1002212853,2.66,114.3113964129,74.6556519816,15.1095,7.5277647097,76.9725399785,112.8204215123,13.7175269997,270.56,29.7740972051,43.1006335865,262.5917764752,40.209032136,38.8979619763,65.4066118314,160.5,52.3709340848,18.8851455227,65.8204544204,45.5767025186,112.5732255393,57.3156916898,19.2085057464,67.8039280636,66.7774073686,47.4077555329,70.9753587218,54.068852675,84.1272333902,52.1892986205,44.8478160356,8.532930512,143.9840660467,105.8655399922,100.6097222189,66.8461252552,26.4613094161,25.4831759054,25.758983259,150.7272125187,77.6655168618,70.3656704549,95.8903284409,27.5872257965,82.6466381213,76.0310428529,44.8198206237,29.5817514878,56.8320264385,139.8326103609,53.6758486472,77.6249139944,69.4905487034,28.1674464768,53.7726497337,28.4747600969,76.5948037755,94.2839262973,23.5103534847,39.0635862271,27.5715384198,39.3967551931,19.6957407684,4.731138126,40.4586500434,0.4749310304,36.8406245723,66.7946317483,18.2524450892,65.1930840843,45.9618596755,53.7964453352,43.1868413261,31.8136626329,25.4754795376,30.5776017245,106.8980903439,12.9851607982,52.8594541458,122.1018579153,25.904989547,14.006,38.6962090154,82.4726071068,89.206919795,71.968357317,29.5093651962,59.869013786,25.4647062394,38.8765710951,23.1067792666,55.8869355009
2015-01-06,23.5351993938,40.3666274205,35.604271748,70.9181449005,70.53,41.5031636016,2.63,110.6285999844,74.4580497265,14.7645,7.3565575521,75.3321137179,111.4915796626,13.3071061688,263.2466666667,28.9130502539,42.408717586,258.5112136178,40.1403926138,37.5285760647,64.9857488804,156.31,51.8207068479,18.6387881919,64.5953560009,43.6950318326,114.0608003054,56.3599375049,19.2014072594,67.8543345521,66.7465147856,47.166226798,70.384239482,53.6993471424,83.6810075365,53.0461002396,44.7737119113,8.4519948568,143.9755864197,105.9904919426,98.4421143824,67.4435514922,26.8621215599,24.8925506013,25.1232650798,147.6780956041,77.4277496267,70.2010640249,93.8223532053,27.0730827845,80.1085630486,75.6574439334,43.6576881979,29.8063874744,57.1187672379,139.175148143,53.797691524,77.4571166542,69.6186349365,27.973134622,53.5022089136,27.6113918192,75.5628230017,93.2785289789,23.6503822896,40.5981309652,26.7774781134,38.8227064127,19.772239951,4.650138207,40.2206579844,0.4605319087,36.4603015382,66.2886657978,18.4047440533,64.8961263632,46.3562594165,53.032394644,42.5759949141,31.5547883125,24.5422798421,30.9445827053,109.8735449811,13.0045127517,52.8523090453,120.9616221418,25.8472732688,14.0853333333,38.0603989518,82.306197488,87.3620646474,71.4959755688,29.1181553262,59.4832389933,25.721704563,38.0654245929,23.2848350087,55.5898291875
2015-01-07,23.8652148944,41.9981093309,35.8929550324,72.406681675,71.11,41.7021828295,2.58,114.492280324,75.24085866,14.921,7.5552801457,76.9725399785,113.2225710194,13.3702478351,272.42,29.509740685,42.0007149047,263.9821904859,40.6620529829,37.8764741071,65.9928137989,156.79,52.2333772756,18.6219144021,65.3304150526,43.9866560718,116.0469136417,56.0939028348,19.3788694337,69.0784921319,66.6909081363,47.358211177,70.0804698727,54.0242571797,84.5370326435,53.216200561,44.6773765497,8.6948018226,145.0355397917,105.5843981038,98.4830126435,68.7074705832,27.6252062183,24.8499025945,25.0493789576,149.8789017761,80.0815387669,70.7091969177,93.2091745017,27.6409422306,80.8909087699,77.3276508677,43.7243072542,30.1784408273,56.7173301188,140.9702416143,55.3978946389,78.659664259,70.8316869089,28.8514242058,54.8393885242,27.9775036838,75.5628230017,93.9546733743,24.0849544428,41.4663602249,27.1598034461,39.3159631426,19.953225822,4.67428104,41.051466627,0.4592119892,36.4687531611,68.227014228,18.6566231094,65.2365413117,46.7049316514,53.6509118702,43.0379475132,32.3314112736,25.0219619286,31.2866836196,111.8954755453,13.0199943145,54.8529372097,124.5852527779,27.1747476682,14.0633333333,38.7439866503,83.1465660632,87.8446849814,72.1613019747,29.3744652411,60.2801988943,25.5576630798,38.2919610034,23.9026344777,56.1530932401
2015-01-08,24.782170715,42.4373544606,36.6307012038,73.5108160957,72.915,41.518472773,2.61,114.0798650068,75.9400666395,15.023,7.9328530736,78.0636236017,115.2245761745,13.6464926251,272.24,29.9176050302,42.5222043761,267.0652824226,41.6779179122,38.4464347298,66.6692006844,162.94,52.9440874565,19.0268853569,65.9674662307,45.0837186857,117.0439907822,57.7295233988,19.5279376601,70.5474812276,68.2170017355,47.9155851807,71.0081986795,54.8588300205,85.4112710507,53.4304009658,45.8482217139,8.9144843154,148.427390582,108.1302940935,99.6690622144,70.6551491823,27.9026915486,24.9282559094,25.1366538402,152.2717783049,81.853288164,71.997421153,95.2350688459,28.1550852427,81.9765091019,77.9356647955,44.7013867459,30.5434743055,58.0609155788,144.1467444647,56.5675862559,79.8831760161,71.0953938594,29.2167304929,56.1540313998,28.4037234665,77.5722086429,96.2065281867,24.490555119,42.3009371877,27.5641860096,40.4725651299,20.0745050139,4.7779237935,41.9991077349,0.4766109279,36.6884953586,69.4669871208,19.0373705198,65.9825570501,47.4079920593,54.214854047,43.7709632075,32.8531425962,25.6760738647,31.3115636861,111.7346401595,13.1495269682,55.1101608309,125.8800967919,27.9154399055,14.041,39.3761215112,87.115435473,91.1374011309,73.458688466,29.5903051694,61.0887089389,26.1054458564,39.1396456363,24.4071257472,57.0877401844
2015-01-09,24.8087491446,41.2764923321,36.2457901578,73.4290283608,71.84,40.8142508897,2.63,112.6762058573,75.5524622161,14.8465,8.0173101759,77.0748290682,114.9972742791,13.4018186683,266.6666666667,29.4795285113,41.3091915921,263.8990679092,41.4033598232,37.5877927528,65.8725672414,161.98,52.4244283995,18.9965125353,64.8240410392,45.0767752514,115.2428191735,57.3058385539,19.7266952953,70.5114765929,66.8577280844,47.3767903105,70.3185595665,54.4893244879,85.8301769541,53.5060011087,45.129411708,8.7930808325,146.4092393617,108.5285784355,98.2785213382,70.592989227,27.4325080722,24.6054204157,24.8297041109,149.9349222968,80.4496944858,70.8022353347,95.6498662042,28.2088016768,80.2523203394,76.8734717891,43.9241644229,30.2065203256,57.2908117175,144.0654850895,55.5034917988,78.8651395159,70.2289281648,28.9291489478,55.8911028247,27.8791452724,77.1405628385,95.024745374,24.4326121653,42.1057538658,27.1156889846,40.1323880748,19.8972508103,4.704138153,41.5361050018,0.4785308108,36.6715921127,68.9966525752,19.1252353068,65.3669129942,47.2822414172,54.1530023244,43.5304424328,31.7778184962,24.812646109,30.9134826222,112.9121849484,13.1102746489,54.6100037898,125.3776200104,28.1366856387,13.7773333333,39.3981727273,86.3000283406,89.5027193545,72.9197740773,28.9765103733,60.183177689,25.8730531633,38.4965745355,24.1049705484,57.0072738912
2015-01-12,24.1974452642,41.2639424712,36.5505114025,73.2082014767,71.12,40.0794106636,2.63,113.0307383229,75.2256584866,14.5705,7.8847010605,76.290612714,114.4115347796,13.1650374197,272.9666666667,29.0565580791,40.8387515418,262.1610503958,42.6800549371,37.2917093124,65.3013960937,163.85,52.164598871,18.9560154398,64.5708540325,43.7922399123,114.599543599,56.882153709,19.9112559566,69.9930098532,65.4181337175,47.3767903105,70.1543597776,53.8140212732,86.0214166057,53.5564012039,44.5884516005,8.7988619508,146.332922719,107.6929622671,98.0740300329,69.9023230571,27.6252062183,24.4259020613,24.6482120255,148.110253907,80.0892086778,70.4587088719,94.0447807743,28.086021256,79.1119838562,76.6097549047,43.5466564375,29.9327452169,56.8729894099,143.6591882132,55.1135945931,77.8564428002,70.0782384788,28.657112351,55.9436885397,27.5567482573,76.1284278489,94.5073479236,24.5871267086,41.930761922,26.7407160621,39.6306269185,19.8468732998,4.554709731,41.4798523333,0.4725311768,36.5701726369,68.7116013355,19.1955271365,65.1278982431,47.4708673803,53.5344850982,43.694607406,31.9530564977,24.5684443195,30.9197026388,113.0213232459,13.1456017363,54.7529058015,124.1697431317,28.1559243981,13.4806666667,39.04535327,85.3265320703,88.7165152621,72.9463871335,28.7067104629,60.0653662254,26.0501142628,38.0361940883,24.2857241048,55.9116943604
2015-01-13,24.41228757,40.0842555514,35.9651258535,73.4699222282,70.59,39.7043359649,2.66,112.2493198272,74.3896489459,14.737,7.8403706358,76.0604622622,114.6738061973,12.9835051291,277.2733333333,29.0036867751,40.7539309651,262.9544931737,43.3252664463,37.0252342161,64.910594782,164.4,52.5237749839,19.1821242229,64.0236434051,43.3548035536,113.4496885096,57.1186289713,19.943199148,70.021813561,64.3801429294,47.3396320436,70.5155993131,53.7375718527,86.6862020611,53.8462017515,44.5217578886,8.7930808325,145.4256026326,107.6070578012,97.5832509001,67.1396583775,27.1704385936,24.6059163227,24.8832591526,147.9982128655,79.5599848319,70.9596849635,94.2672083432,28.009283493,78.7379534897,76.7416133469,43.5540585549,29.9257253423,56.8402190328,143.5705416221,55.1217174516,78.0338987039,69.9426177614,28.4666867332,54.6816313791,27.2179581736,75.8605097634,94.4367937258,24.7802698878,41.8567268688,26.4907341138,39.4222684723,19.9252383162,4.625566803,41.1120464238,0.471691228,36.2828174556,68.6617173685,19.002224605,65.4031273504,47.4994470717,53.0978847032,43.6526117152,32.2079481362,24.5858873045,30.9010425889,113.0959968179,13.1456017363,54.2670389616,124.0151348912,28.3483119922,13.6166666667,38.8027898931,85.7591970793,87.05069669,73.2590905443,28.396440566,60.2409284065,26.1054458564,37.8900415654,24.0941792913,55.7074337699
2015-01-14,24.3192630665,40.2802820417,35.6990758304,72.6111510122,69.99,39.3292612661,2.63,112.2637905401,73.9184435684,14.6635,7.9022803669,74.2192586481,113.9831581307,12.6599040895,275.7933333333,28.2710415623,40.6695030763,261.2693718455,43.2085792585,36.3072318733,64.6851324868,158.13,52.3097977251,18.8378989113,62.6842024664,43.4797853704,112.0184003563,56.4092031845,19.818975626,70.0866219034,64.1947874315,47.3458250881,70.9999886901,52.8902574417,85.811963654,53.9848020134,44.1808789168,8.7352696502,146.4855560045,107.7476287454,97.2560648116,68.5555240258,26.4381856386,24.8384967322,25.0880575988,144.2368350443,78.7239645536,70.6304721033,93.6600411955,27.8941768485,78.6649719548,76.1848777021,42.0514287305,29.8765862203,57.151537615,142.7431734378,54.7399431044,77.9498406443,68.9706692866,28.4045069397,53.9153823888,26.7425591853,75.6918205985,93.9781914402,24.9782416465,42.1595975408,25.8878364737,39.0820914172,20.0483833418,4.631995368,40.5495197387,0.4737311036,36.3926885543,68.8897583603,19.0256552149,65.1785983418,47.6823570965,52.5521342095,43.3395529291,32.0287274529,23.7486240263,31.2182634368,114.0954738582,13.0827980254,53.1095326664,121.9472496748,28.4445057893,12.846,38.7439866503,85.9755295838,86.6848393401,72.7667490039,27.8838207363,59.0350934257,25.9892495098,37.4515839967,23.365769437,55.5465011835
2015-01-15,23.6592320652,39.7680837929,35.4330258073,72.1122458295,70.29,38.5791118687,2.52,109.9195350532,73.1736350686,14.3475,7.7440666097,73.2048918422,113.7733409966,11.9969165935,275.4733333333,28.1350867805,39.200065123,258.7756945437,42.3025375647,34.9600522197,63.8960144537,160.49,52.2104511407,18.8986445546,62.8475489223,42.6396298243,112.0184003563,54.3006320961,19.4569527904,69.9714070724,63.4348298902,47.791724291,71.5911079299,52.2595497223,85.9212434549,54.6589032873,44.0030290184,8.5907416944,147.4183149719,108.0300397126,96.4380995903,67.2708849497,25.7675960903,24.8841201813,24.9928486359,142.8443249574,77.4737690916,69.4996974967,92.9206198177,27.7713964277,77.6158623903,75.0787318816,40.7042433707,29.7502284778,57.1351524265,142.1078728677,53.8951658254,76.8197267313,68.8501175378,28.4006207026,54.0130415738,26.2179809912,73.4790156701,93.8723601436,25.3355565279,41.6480826281,25.4246346282,38.6781311643,19.9718841592,4.625138232,40.1600781875,0.4703713085,36.0292687661,68.8897583603,18.9787939952,65.0844410156,47.3394008,51.9408936565,43.3395529291,31.6941821773,23.2602204474,31.5976844508,114.9226272708,13.0553214019,54.0669761451,119.9470055637,28.0693499808,12.7913333333,38.5050984761,86.9157439304,86.2489241997,72.7135228915,27.6140208259,58.4737564519,26.0611805815,37.064279811,23.5735011362,55.0637034241
