selection_rank,ticker,gics_sector,gics_industry_group,gics_industry,gics_sub_industry
1,1500785D UN Equity,Utilities,Utilities,Multi-Utilities,Multi-Utilities
2,1518855D US Equity,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
3,1539941D UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
4,1541931D UW Equity,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
5,1697067D UN Equity,Materials,Materials,Chemicals,Diversified Chemicals
6,1715651D UN Equity,Materials,Materials,Chemicals,Diversified Chemicals
7,1806854D UN Equity,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
8,1831877D UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
9,1856613D UN Equity,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
10,1922150D UN Equity,Materials,Materials,Chemicals,Industrial Gases
11,1927294D UN Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
12,2078185D UN Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
13,2258717D UN Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
14,2326248D UW Equity,Information Technology,Software & Services,Software,Systems Software
15,2370058D UN Equity,Financials,Banks,Banks,Regional Banks
16,2544554D UW Equity,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
17,2557974D UN Equity,Utilities,Utilities,Electric Utilities,Electric Utilities
18,2558202D UN Equity,Communication Services,Media & Entertainment,Media,Broadcasting
19,2596482D UN Equity,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
20,2596516D UN Equity,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
21,2616271D UN Equity,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
22,2619871D UW Equity,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
23,9876566D UN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance
24,9903115D UN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
25,9980328D UN Equity,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
