period,component,variance_explained_pct,cumulative_variance_explained_pct,n_assets
1,1,57.490404,57.490404,415
1,2,2.856077,60.346480,415
1,3,1.684649,62.031129,415
1,4,1.476858,63.507987,415
1,5,0.975030,64.483017,415
2,1,36.383067,36.383067,415
2,2,3.638509,40.021576,415
2,3,2.291956,42.313532,415
2,4,1.727071,44.040604,415
2,5,1.407655,45.448258,415
3,1,34.140570,34.140570,415
3,2,4.366776,38.507347,415
3,3,2.084091,40.591438,415
3,4,1.536267,42.127705,415
3,5,1.342619,43.470324,415
4,1,32.775751,32.775751,415
4,2,5.872770,38.648520,415
4,3,4.194615,42.843135,415
4,4,2.001899,44.845035,415
4,5,1.584152,46.429187,415
5,1,39.495656,39.495656,415
5,2,5.362616,44.858272,415
5,3,3.851942,48.710215,415
5,4,2.152002,50.862216,415
5,5,1.533790,52.396006,415
6,1,25.557717,25.557717,408
6,2,9.655006,35.212722,408
6,3,3.487558,38.700281,408
6,4,2.637204,41.337485,408
6,5,2.054494,43.391979,408
7,1,23.078299,23.078299,396
7,2,6.285147,29.363445,396
7,3,4.000700,33.364145,396
7,4,3.136944,36.501089,396
7,5,2.207976,38.709064,396
