method,variant,year,annualized_sharpe
distance,standard,2011,-0.531109
distance,standard,2012,1.637770
distance,standard,2013,-1.848430
distance,standard,2014,-0.107787
distance,standard,2015,-0.217709
distance,standard,2016,0.832513
distance,standard,2017,-1.817407
distance,standard,2018,0.332660
distance,wavelet,2011,-1.397740
distance,wavelet,2012,1.007660
distance,wavelet,2013,-2.497312
distance,wavelet,2014,-0.749725
distance,wavelet,2015,-1.246592
distance,wavelet,2016,0.149557
distance,wavelet,2017,-2.244266
distance,wavelet,2018,-0.146077
distance,opt,2011,6.372125
distance,opt,2012,14.911733
distance,opt,2013,13.034202
distance,opt,2014,9.711513
distance,opt,2015,7.673313
distance,opt,2016,8.963724
distance,opt,2017,10.170544
distance,opt,2018,7.888083
cointegration,standard,2011,-0.339197
cointegration,standard,2012,1.954071
cointegration,standard,2013,-1.582653
cointegration,standard,2014,-0.601864
cointegration,standard,2015,-0.933949
cointegration,standard,2016,1.058649
cointegration,standard,2017,-1.737425
cointegration,standard,2018,0.442660
cointegration,wavelet,2011,-1.254615
cointegration,wavelet,2012,1.303404
cointegration,wavelet,2013,-2.221601
cointegration,wavelet,2014,-1.148893
cointegration,wavelet,2015,-1.740244
cointegration,wavelet,2016,0.402009
cointegration,wavelet,2017,-2.116320
cointegration,wavelet,2018,-0.159581
cointegration,opt,2011,6.029601
cointegration,opt,2012,13.968278
cointegration,opt,2013,11.563620
cointegration,opt,2014,10.417332
cointegration,opt,2015,8.119184
cointegration,opt,2016,8.177323
cointegration,opt,2017,9.008522
cointegration,opt,2018,8.868319
