beta_true,sigma2_2,sigma2_1,error_integration,beta_hat_standard,beta_hat_wavelet,msfe_standard,msfe_wavelet,n_replications
1.000000,1.581000,1.581000,I(0),0.943584,0.979037,4.630834,4.101313,120
1.000000,1.581000,1.581000,I(1),0.842712,0.927884,235.600664,141.571402,120
1.000000,1.581000,7.906000,I(0),0.934888,0.976428,11.570505,10.596049,120
1.000000,1.581000,7.906000,I(1),0.868044,1.020345,241.418041,136.301556,120
1.000000,1.581000,15.811000,I(0),0.929190,0.975214,20.026388,18.713635,120
1.000000,1.581000,15.811000,I(1),0.948623,1.025557,239.048264,162.163217,120
1.000000,1.581000,31.623000,I(0),0.947896,0.979969,35.936441,34.876812,120
1.000000,1.581000,31.623000,I(1),1.020060,1.008805,264.660942,174.323248,120
1.000000,7.906000,1.581000,I(0),0.761091,0.897175,20.172546,10.455755,120
1.000000,7.906000,1.581000,I(1),0.752572,0.904204,238.507945,156.043992,120
1.000000,7.906000,7.906000,I(0),0.771568,0.893926,22.836380,16.769834,120
1.000000,7.906000,7.906000,I(1),0.724048,0.918220,248.064129,150.940208,120
1.000000,7.906000,15.811000,I(0),0.769265,0.897031,32.174326,24.577343,120
1.000000,7.906000,15.811000,I(1),0.743261,0.835879,237.518891,155.493616,120
1.000000,7.906000,31.623000,I(0),0.766764,0.896138,53.342914,40.875870,120
1.000000,7.906000,31.623000,I(1),0.755437,0.899908,277.398949,189.869712,120
1.000000,15.811000,1.581000,I(0),0.610888,0.811758,40.912599,17.625417,120
1.000000,15.811000,1.581000,I(1),0.639093,0.859876,239.362214,163.707762,120
1.000000,15.811000,7.906000,I(0),0.659928,0.840003,40.399207,23.890047,120
1.000000,15.811000,7.906000,I(1),0.635055,0.801550,245.582711,159.676713,120
1.000000,15.811000,15.811000,I(0),0.639119,0.819569,47.555312,31.647313,120
1.000000,15.811000,15.811000,I(1),0.618795,0.776310,256.551703,162.629699,120
1.000000,15.811000,31.623000,I(0),0.623960,0.808168,64.722190,47.983584,120
1.000000,15.811000,31.623000,I(1),0.634347,0.794166,248.555793,174.338258,120
1.000000,31.623000,1.581000,I(0),0.491784,0.701501,55.636249,30.535433,120
1.000000,31.623000,1.581000,I(1),0.570333,0.793861,263.931887,188.419317,120
1.000000,31.623000,7.906000,I(0),0.515746,0.731001,61.531241,35.269497,120
1.000000,31.623000,7.906000,I(1),0.475492,0.679610,254.114218,170.518345,120
1.000000,31.623000,15.811000,I(0),0.482823,0.711021,73.493978,42.973450,120
1.000000,31.623000,15.811000,I(1),0.454086,0.637231,320.648956,215.607100,120
1.000000,31.623000,31.623000,I(0),0.467801,0.697191,91.933394,58.221787,120
1.000000,31.623000,31.623000,I(1),0.494160,0.773853,370.764734,226.300755,120
2.000000,1.581000,1.581000,I(0),1.864475,1.955639,14.492535,9.087195,120
2.000000,1.581000,1.581000,I(1),1.844454,1.953574,276.725349,168.808758,120
2.000000,1.581000,7.906000,I(0),1.863345,1.957145,19.150501,15.414612,120
2.000000,1.581000,7.906000,I(1),1.977012,2.051954,254.955044,172.414233,120
2.000000,1.581000,15.811000,I(0),1.884302,1.954875,25.471134,23.221599,120
2.000000,1.581000,15.811000,I(1),1.898775,2.018376,271.837105,154.813182,120
2.000000,1.581000,31.623000,I(0),1.877692,1.947066,42.055316,39.878538,120
2.000000,1.581000,31.623000,I(1),1.884808,1.946635,244.185554,167.208553,120
2.000000,7.906000,1.581000,I(0),1.539564,1.793487,68.396177,35.153511,120
2.000000,7.906000,1.581000,I(1),1.554645,1.785793,286.422642,167.224150,120
2.000000,7.906000,7.906000,I(0),1.558915,1.799853,71.636554,40.456791,120
2.000000,7.906000,7.906000,I(1),1.583221,1.868696,284.753746,160.004870,120
2.000000,7.906000,15.811000,I(0),1.564995,1.800550,77.630078,48.408303,120
2.000000,7.906000,15.811000,I(1),1.573737,1.777498,281.553656,196.206790,120
2.000000,7.906000,31.623000,I(0),1.587005,1.818682,88.012231,61.750322,120
2.000000,7.906000,31.623000,I(1),1.519221,1.806449,310.988194,192.815636,120
2.000000,15.811000,1.581000,I(0),1.266892,1.632686,121.728630,59.957765,120
2.000000,15.811000,1.581000,I(1),1.227920,1.666711,387.772726,221.151827,120
2.000000,15.811000,7.906000,I(0),1.308790,1.669153,156.009319,68.483892,120
2.000000,15.811000,7.906000,I(1),1.182028,1.636833,380.787770,202.935404,120
2.000000,15.811000,15.811000,I(0),1.225250,1.617532,141.879409,73.250630,120
2.000000,15.811000,15.811000,I(1),1.273894,1.619163,343.330546,208.615199,120
2.000000,15.811000,31.623000,I(0),1.281213,1.674087,192.577260,93.219342,120
2.000000,15.811000,31.623000,I(1),1.274800,1.619420,347.499862,209.839547,120
2.000000,31.623000,1.581000,I(0),1.052869,1.487199,244.838422,119.988258,120
2.000000,31.623000,1.581000,I(1),1.020709,1.481076,459.548902,294.995495,120
2.000000,31.623000,7.906000,I(0),1.000655,1.425885,226.212582,116.674211,120
2.000000,31.623000,7.906000,I(1),0.992919,1.424983,426.685606,259.171934,120
2.000000,31.623000,15.811000,I(0),1.008002,1.441966,247.874286,121.389855,120
2.000000,31.623000,15.811000,I(1),1.037845,1.474889,418.647393,263.940625,120
2.000000,31.623000,31.623000,I(0),1.001766,1.415824,260.278911,150.457206,120
2.000000,31.623000,31.623000,I(1),1.034316,1.564732,539.958382,273.888029,120
4.000000,1.581000,1.581000,I(0),3.754648,3.910577,41.755680,28.094641,120
4.000000,1.581000,1.581000,I(1),3.681487,3.871734,269.464003,157.363746,120
4.000000,1.581000,7.906000,I(0),3.766807,3.913766,46.362675,34.542666,120
4.000000,1.581000,7.906000,I(1),3.751532,3.974066,335.427386,181.903555,120
4.000000,1.581000,15.811000,I(0),3.748352,3.914475,59.350822,42.663403,120
4.000000,1.581000,15.811000,I(1),3.788190,3.898121,297.704103,171.850115,120
4.000000,1.581000,31.623000,I(0),3.785010,3.925219,68.260540,58.908861,120
4.000000,1.581000,31.623000,I(1),3.701009,3.924579,299.423037,208.103091,120
4.000000,7.906000,1.581000,I(0),3.101974,3.629145,279.049750,125.089810,120
4.000000,7.906000,1.581000,I(1),3.097859,3.559775,458.679730,275.022180,120
4.000000,7.906000,7.906000,I(0),3.051576,3.570092,243.481745,128.256315,120
4.000000,7.906000,7.906000,I(1),3.148788,3.674391,580.190331,278.010482,120
4.000000,7.906000,15.811000,I(0),3.064789,3.567685,268.834652,149.881222,120
4.000000,7.906000,15.811000,I(1),3.139740,3.633766,477.765406,281.597394,120
4.000000,7.906000,31.623000,I(0),3.176826,3.660529,265.224281,156.521910,120
4.000000,7.906000,31.623000,I(1),3.022330,3.549445,520.712622,264.800599,120
4.000000,15.811000,1.581000,I(0),2.668972,3.373180,481.334690,239.896979,120
4.000000,15.811000,1.581000,I(1),2.690922,3.288986,609.556371,366.619354,120
4.000000,15.811000,7.906000,I(0),2.555856,3.328817,554.322825,248.090679,120
4.000000,15.811000,7.906000,I(1),2.653504,3.359709,829.267477,395.913213,120
4.000000,15.811000,15.811000,I(0),2.563193,3.278329,509.835698,242.915805,120
4.000000,15.811000,15.811000,I(1),2.615110,3.261610,725.332952,397.760049,120
4.000000,15.811000,31.623000,I(0),2.628095,3.365366,620.756812,273.748779,120
4.000000,15.811000,31.623000,I(1),2.528647,3.392520,861.065757,393.454905,120
4.000000,31.623000,1.581000,I(0),1.904679,2.839402,953.812763,416.554296,120
4.000000,31.623000,1.581000,I(1),1.929521,2.852813,1196.030922,582.321764,120
4.000000,31.623000,7.906000,I(0),2.080103,2.925289,889.002560,438.412539,120
4.000000,31.623000,7.906000,I(1),1.954102,2.930676,1263.716372,571.939154,120
4.000000,31.623000,15.811000,I(0),1.955310,2.837964,951.581876,460.005746,120
4.000000,31.623000,15.811000,I(1),1.958252,2.829954,1023.424279,611.544511,120
4.000000,31.623000,31.623000,I(0),2.011229,2.821526,868.882277,462.923054,120
4.000000,31.623000,31.623000,I(1),1.881766,2.853145,1149.291210,590.363072,120
