factor_family,method,variant,model,alpha_annual_%,t(alpha),significant_5%,beta_mkt,R2,adj_R2,n,factor_source,alpha_daily,beta_MktRF,t_MktRF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_LT_Rev,t_LT_Rev,beta_ST_rev,t_ST_rev,beta_R_MKT,t_R_MKT,beta_R_ME,t_R_ME,beta_R_IA,t_R_IA,beta_R_ROE,t_R_ROE,beta_R_EG,t_R_EG,beta_innovation_DGS1MO,t_innovation_DGS1MO,beta_innovation_Termspread,t_innovation_Termspread,beta_innovation_Divyield,t_innovation_Divyield,beta_innovation_defspread,t_innovation_defspread,beta_innovation_HML,t_innovation_HML,beta_innovation_SMB,t_innovation_SMB,tc_per_share
fama_french,distance,standard,FF five factor I,0.640000,0.700000,false,,0.088000,0.085000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000026,-0.041612,-5.630000,0.045631,4.840000,0.084265,6.180000,-0.035448,-2.200000,-0.060337,-2.830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,standard,FF five factor II,1.150000,1.430000,false,,0.307000,0.305000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000046,-0.036600,-4.980000,0.028182,3.530000,-0.017363,-1.540000,,,,,-0.113052,-13.360000,0.026963,1.970000,,,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,standard,FF five factor III,0.910000,1.140000,false,,0.337000,0.336000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000036,-0.045394,-6.140000,0.029726,3.900000,-0.001890,-0.200000,,,,,-0.111279,-13.690000,,,0.053603,5.640000,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,standard,FF seven factor I,1.270000,1.580000,false,,0.316000,0.313000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000050,-0.044736,-6.120000,0.022543,2.830000,-0.003431,-0.270000,-0.031299,-2.370000,-0.050168,-2.720000,-0.111347,-13.320000,0.031235,2.210000,,,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,standard,FF seven factor II,1.020000,1.290000,false,,0.345000,0.342000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000041,-0.052304,-7.440000,0.023901,3.180000,0.008833,0.730000,-0.034243,-2.590000,-0.037925,-2.240000,-0.110667,-13.950000,,,0.052521,5.730000,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,standard,FF eight factor,1.110000,1.400000,false,,0.346000,0.343000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000044,-0.054482,-7.850000,0.023133,3.100000,0.003442,0.270000,-0.026767,-2.080000,-0.048582,-2.770000,-0.107136,-13.370000,0.022444,1.780000,0.051545,5.680000,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,wavelet,FF five factor I,0.390000,0.430000,false,,0.137000,0.134000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000015,-0.057005,-8.410000,0.049014,5.620000,0.100037,7.400000,-0.036309,-2.260000,-0.065996,-3.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,wavelet,FF five factor II,0.840000,1.070000,false,,0.358000,0.356000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000033,-0.050321,-8.100000,0.032550,4.510000,0.000540,0.050000,,,,,-0.115286,-14.780000,0.016975,1.290000,,,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,wavelet,FF five factor III,0.750000,0.940000,false,,0.357000,0.355000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000030,-0.049119,-7.240000,0.034158,4.650000,0.008579,0.960000,,,,,-0.117402,-14.910000,,,0.003467,0.380000,,,,,,,,,,,,,,,,,,,,,,,
fama_french,distance,wavelet,FF seven factor I,0.970000,1.230000,false,,0.368000,0.365000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000039,-0.058939,-9.700000,0.026187,3.590000,0.014552,1.130000,-0.035997,-2.920000,-0.050346,-3.000000,-0.113793,-14.700000,0.020033,1.480000,,,,,,,,,,,,,,,,,,,,,,,,,
