factor_family,method,variant,model,alpha_annual_%,t(alpha),significant_5%,beta_mkt,R2,adj_R2,n,factor_source,alpha_daily,beta_MktRF,t_MktRF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_LT_Rev,t_LT_Rev,beta_ST_rev,t_ST_rev,beta_R_MKT,t_R_MKT,beta_R_ME,t_R_ME,beta_R_IA,t_R_IA,beta_R_ROE,t_R_ROE,beta_R_EG,t_R_EG,beta_innovation_DGS1MO,t_innovation_DGS1MO,beta_innovation_Termspread,t_innovation_Termspread,beta_innovation_Divyield,t_innovation_Divyield,beta_innovation_defspread,t_innovation_defspread,beta_innovation_HML,t_innovation_HML,beta_innovation_SMB,t_innovation_SMB,tc_per_share
q_factor,distance,standard,Hou-Xue-Zhang q-factor,1.040000,1.120000,false,,0.084000,0.081000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000041,,,,,,,,,,,,,,,,,-0.044542,-5.540000,0.034313,3.390000,-0.025976,-1.540000,-0.026638,-1.520000,-0.084646,-4.080000,,,,,,,,,,,,,
petkova_icapm,distance,standard,ICAPM Petkova full sample,0.340000,0.370000,false,,0.074000,0.070000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000014,,,,,,,,,,,,,,,,,-0.030212,-3.860000,,,,,,,,,0.001878,0.400000,-0.010411,-1.210000,-0.003857,-1.060000,-0.002288,-0.460000,-0.726125,-0.970000,0.559425,0.960000,
q_factor,distance,wavelet,Hou-Xue-Zhang q-factor,0.750000,0.810000,false,,0.115000,0.112000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000030,,,,,,,,,,,,,,,,,-0.059173,-7.560000,0.040807,4.200000,-0.013069,-0.810000,-0.032350,-1.890000,-0.078629,-4.090000,,,,,,,,,,,,,
petkova_icapm,distance,wavelet,ICAPM Petkova full sample,0.060000,0.060000,false,,0.120000,0.116000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000002,,,,,,,,,,,,,,,,,-0.046501,-6.230000,,,,,,,,,0.005768,1.160000,-0.014249,-1.510000,-0.003374,-0.940000,-0.002950,-0.590000,-0.442722,-0.600000,0.480881,0.840000,
q_factor,distance,wavelet_pf(paper),Hou-Xue-Zhang q-factor,9.970000,9.250000,true,,0.065000,0.062000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000396,,,,,,,,,,,,,,,,,-0.016581,-1.340000,0.060922,4.770000,-0.018472,-0.850000,0.012231,0.630000,-0.088695,-4.060000,,,,,,,,,,,,,
petkova_icapm,distance,wavelet_pf(paper),ICAPM Petkova full sample,9.450000,8.910000,true,,0.084000,0.081000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000375,,,,,,,,,,,,,,,,,-0.006809,-0.580000,,,,,,,,,0.006268,1.210000,-0.007573,-0.800000,0.000356,0.080000,-0.007349,-1.590000,0.359976,0.410000,-0.068122,-0.100000,
q_factor,distance,standard_after_tc,Hou-Xue-Zhang q-factor,0.330000,0.340000,false,,0.081000,0.079000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000013,,,,,,,,,,,,,,,,,-0.046472,-5.700000,0.033875,3.230000,-0.034968,-1.970000,-0.028189,-1.520000,-0.088634,-4.220000,,,,,,,,,,,,,0.000000
petkova_icapm,distance,standard_after_tc,ICAPM Petkova full sample,-0.400000,-0.400000,false,,0.065000,0.061000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000016,,,,,,,,,,,,,,,,,-0.030762,-3.880000,,,,,,,,,0.002830,0.560000,-0.012137,-1.310000,-0.003698,-0.970000,-0.002719,-0.540000,-0.659614,-0.840000,0.525918,0.860000,0.000000
q_factor,distance,wavelet_after_tc,Hou-Xue-Zhang q-factor,0.040000,0.040000,false,,0.109000,0.106000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000002,,,,,,,,,,,,,,,,,-0.061128,-7.710000,0.040369,3.990000,-0.022094,-1.290000,-0.034019,-1.870000,-0.082451,-4.200000,,,,,,,,,,,,,0.000000
petkova_icapm,distance,wavelet_after_tc,ICAPM Petkova full sample,-0.680000,-0.700000,false,,0.106000,0.103000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000027,,,,,,,,,,,,,,,,,-0.047081,-6.240000,,,,,,,,,0.006734,1.270000,-0.015985,-1.580000,-0.003242,-0.870000,-0.003375,-0.660000,-0.380913,-0.500000,0.451767,0.760000,0.000000
q_factor,cointegration,standard,Hou-Xue-Zhang q-factor,0.700000,0.620000,false,,0.062000,0.060000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000028,,,,,,,,,,,,,,,,,-0.047677,-4.960000,0.035530,2.990000,-0.039577,-2.080000,-0.038158,-1.750000,-0.081018,-3.290000,,,,,,,,,,,,,
petkova_icapm,cointegration,standard,ICAPM Petkova full sample,-0.020000,-0.020000,false,,0.049000,0.045000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000001,,,,,,,,,,,,,,,,,-0.031352,-3.260000,,,,,,,,,0.001030,0.190000,-0.008700,-0.910000,-0.000214,-0.050000,0.000260,0.050000,-0.023992,-0.030000,-0.000607,-0.000000,
q_factor,cointegration,wavelet,Hou-Xue-Zhang q-factor,0.590000,0.540000,false,,0.083000,0.081000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000023,,,,,,,,,,,,,,,,,-0.055413,-6.770000,0.041237,3.400000,-0.017534,-0.950000,-0.039015,-1.840000,-0.079864,-3.440000,,,,,,,,,,,,,
petkova_icapm,cointegration,wavelet,ICAPM Petkova full sample,-0.150000,-0.140000,false,,0.079000,0.076000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000006,,,,,,,,,,,,,,,,,-0.041122,-5.070000,,,,,,,,,0.002603,0.540000,-0.009641,-1.100000,-0.000516,-0.120000,-0.000480,-0.090000,-0.001158,-0.000000,0.050648,0.070000,
q_factor,cointegration,wavelet_pf(paper),Hou-Xue-Zhang q-factor,9.780000,8.140000,true,,0.077000,0.075000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000388,,,,,,,,,,,,,,,,,-0.022173,-1.600000,0.076795,5.010000,-0.012313,-0.610000,0.019599,0.890000,-0.100053,-4.130000,,,,,,,,,,,,,
petkova_icapm,cointegration,wavelet_pf(paper),ICAPM Petkova full sample,9.200000,7.800000,true,,0.087000,0.084000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,0.000365,,,,,,,,,,,,,,,,,-0.010827,-0.780000,,,,,,,,,0.001951,0.410000,-0.002335,-0.290000,0.003611,0.810000,-0.005123,-1.150000,0.821978,0.890000,-0.558760,-0.790000,
q_factor,cointegration,standard_after_tc,Hou-Xue-Zhang q-factor,-0.010000,-0.010000,false,,0.063000,0.060000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000001,,,,,,,,,,,,,,,,,-0.049595,-5.080000,0.034941,2.850000,-0.048793,-2.450000,-0.039662,-1.750000,-0.085093,-3.430000,,,,,,,,,,,,,0.000000
petkova_icapm,cointegration,standard_after_tc,ICAPM Petkova full sample,-0.770000,-0.660000,false,,0.045000,0.041000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000030,,,,,,,,,,,,,,,,,-0.031879,-3.270000,,,,,,,,,0.001992,0.360000,-0.010447,-1.030000,-0.000039,-0.010000,-0.000185,-0.030000,0.046031,0.050000,-0.036897,-0.050000,0.000000
q_factor,cointegration,wavelet_after_tc,Hou-Xue-Zhang q-factor,-0.140000,-0.120000,false,,0.081000,0.079000,1770,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000005,,,,,,,,,,,,,,,,,-0.057378,-6.890000,0.040558,3.240000,-0.026929,-1.370000,-0.040536,-1.830000,-0.083892,-3.570000,,,,,,,,,,,,,0.000000
petkova_icapm,cointegration,wavelet_after_tc,ICAPM Petkova full sample,-0.900000,-0.810000,false,,0.072000,0.068000,1769,C:\Users\b304juv\OneDrive - Assicurazioni Generali S.p.A\Bureau\Backtesting_Framework\research\data\factors.csv,-0.000036,,,,,,,,,,,,,,,,,-0.041688,-5.070000,,,,,,,,,0.003602,0.700000,-0.011438,-1.220000,-0.000376,-0.090000,-0.000927,-0.180000,0.063556,0.070000,0.019701,0.030000,0.000000
