wavelet,mean_return,sharpe,method
haar,-2.569337,-1.087418,distance
db4,-2.349796,-0.995883,distance
db8,-2.309146,-0.979027,distance
db16,-2.273763,-0.968961,distance
sym4,-2.331546,-0.993242,distance
sym8,-2.309146,-0.979027,distance
sym12,-2.288106,-0.970135,distance
sym16,-2.291962,-0.971706,distance
sym20,-2.266283,-0.965838,distance
coif2,-2.344262,-0.993785,distance
coif4,-2.289077,-0.975454,distance
haar,-2.717534,-1.021958,cointegration
db4,-2.525411,-0.951326,cointegration
db8,-2.467549,-0.929901,cointegration
db16,-2.452039,-0.923997,cointegration
sym4,-2.525411,-0.951326,cointegration
sym8,-2.467549,-0.929901,cointegration
sym12,-2.454676,-0.925031,cointegration
sym16,-2.452039,-0.923997,cointegration
sym20,-2.447583,-0.922166,cointegration
coif2,-2.516235,-0.947822,cointegration
coif4,-2.460734,-0.927232,cointegration
