method,variant,tc_per_share,period,number_of_trades,active_pairs
cointegration,standard,0.000000,1,680.000000,299.000000
cointegration,standard,0.000000,2,1075.000000,552.000000
cointegration,standard,0.000000,3,470.000000,218.000000
cointegration,standard,0.000000,4,860.000000,384.000000
cointegration,standard,0.000000,5,1015.000000,459.000000
cointegration,standard,0.000000,6,1114.000000,535.000000
cointegration,standard,0.000000,7,911.000000,481.000000
cointegration,standard,0.001000,1,680.000000,299.000000
cointegration,standard,0.001000,2,1075.000000,552.000000
cointegration,standard,0.001000,3,470.000000,218.000000
cointegration,standard,0.001000,4,860.000000,384.000000
cointegration,standard,0.001000,5,1015.000000,459.000000
cointegration,standard,0.001000,6,1114.000000,535.000000
cointegration,standard,0.001000,7,911.000000,481.000000
cointegration,wavelet,0.000000,1,688.000000,299.000000
cointegration,wavelet,0.000000,2,1106.000000,552.000000
cointegration,wavelet,0.000000,3,464.000000,218.000000
cointegration,wavelet,0.000000,4,908.000000,384.000000
cointegration,wavelet,0.000000,5,1014.000000,459.000000
cointegration,wavelet,0.000000,6,1146.000000,537.000000
cointegration,wavelet,0.000000,7,904.000000,491.000000
cointegration,wavelet,0.001000,1,688.000000,299.000000
cointegration,wavelet,0.001000,2,1106.000000,552.000000
cointegration,wavelet,0.001000,3,464.000000,218.000000
cointegration,wavelet,0.001000,4,908.000000,384.000000
cointegration,wavelet,0.001000,5,1014.000000,459.000000
cointegration,wavelet,0.001000,6,1146.000000,537.000000
cointegration,wavelet,0.001000,7,904.000000,491.000000
distance,standard,0.000000,1,2113.000000,998.000000
distance,standard,0.000000,2,1841.000000,998.000000
distance,standard,0.000000,3,2049.000000,1000.000000
distance,standard,0.000000,4,2175.000000,999.000000
distance,standard,0.000000,5,2148.000000,1000.000000
distance,standard,0.000000,6,2008.000000,993.000000
distance,standard,0.000000,7,1632.000000,889.000000
distance,standard,0.001000,1,2113.000000,998.000000
distance,standard,0.001000,2,1841.000000,998.000000
distance,standard,0.001000,3,2049.000000,1000.000000
distance,standard,0.001000,4,2175.000000,999.000000
distance,standard,0.001000,5,2148.000000,1000.000000
distance,standard,0.001000,6,2008.000000,993.000000
distance,standard,0.001000,7,1632.000000,889.000000
distance,wavelet,0.000000,1,2110.000000,996.000000
distance,wavelet,0.000000,2,1882.000000,995.000000
distance,wavelet,0.000000,3,1955.000000,1000.000000
distance,wavelet,0.000000,4,2226.000000,1000.000000
distance,wavelet,0.000000,5,2182.000000,1000.000000
distance,wavelet,0.000000,6,2029.000000,992.000000
distance,wavelet,0.000000,7,1607.000000,896.000000
distance,wavelet,0.001000,1,2110.000000,996.000000
distance,wavelet,0.001000,2,1882.000000,995.000000
distance,wavelet,0.001000,3,1955.000000,1000.000000
distance,wavelet,0.001000,4,2226.000000,1000.000000
distance,wavelet,0.001000,5,2182.000000,1000.000000
distance,wavelet,0.001000,6,2029.000000,992.000000
distance,wavelet,0.001000,7,1607.000000,896.000000
