method,period,full_prop_wavelet_minus_standard,partial_prop_wavelet_minus_standard,non_prop_wavelet_minus_standard,full_ret_wavelet_minus_standard,partial_ret_wavelet_minus_standard,non_ret_wavelet_minus_standard
distance,1,-0.900000,3.600000,-2.900000,-6.742250,-4.279607,3.689126
distance,2,1.700000,-0.400000,-1.600000,-3.751888,-3.761991,6.102751
distance,3,0.300000,-3.200000,2.900000,-5.779592,-1.451444,3.002432
distance,4,0.500000,2.500000,-2.900000,-6.475257,-4.335986,2.146920
distance,5,-1.900000,3.900000,-2.000000,-5.435990,-0.328922,1.727343
distance,6,-1.800000,4.400000,-2.700000,-4.831725,-1.795727,2.780982
distance,7,1.329243,-1.124744,0.511247,-2.539975,0.515035,2.194801
cointegration,1,0.000000,5.315615,-5.315615,-9.311310,-4.507841,1.916133
cointegration,2,1.627486,-0.542495,-1.084991,-4.058928,-1.153959,9.503106
cointegration,3,-0.458716,3.669725,-3.211009,-10.757938,-2.085094,3.973771
cointegration,4,-2.083333,6.510417,-4.427083,-10.230413,-4.416079,3.106608
cointegration,5,-0.217391,3.478261,-3.260870,-8.625366,0.123579,1.541092
cointegration,6,1.301115,1.858736,-2.788104,-4.050721,-2.233511,3.821403
cointegration,7,0.165289,0.000000,1.487603,-5.558112,0.095958,2.980401
