method,variant,n_pairs,n_active,mean_return,std_return,sharpe,skewness,kurtosis,max_drawdown,var_95,cvar_95,pct_positive,n_full,n_partial,n_non,n_inactive,period,trade_end
distance,standard,1000,999,0.018630,0.228934,0.585781,-0.469475,4.416090,-0.027289,-0.343433,-0.536177,0.565566,153,513,333,1,1,2012-03-05T00:00:00.000000
distance,wavelet,1000,999,-0.010158,0.219354,-0.321378,-0.759048,5.295224,-0.047789,-0.360332,-0.570915,0.521522,155,489,355,1,1,2012-03-05T00:00:00.000000
distance,standard,1000,994,-0.004811,0.544973,-0.156107,1.414017,59.326542,-0.032019,-0.472542,-1.258629,0.503018,109,503,382,3,2,2013-03-08T00:00:00.000000
distance,wavelet,1000,993,-0.099228,0.557110,-1.742355,-5.836575,52.443814,-0.096285,-0.660996,-1.830957,0.452165,107,502,384,4,2,2013-03-08T00:00:00.000000
distance,standard,1000,998,-0.021784,0.325587,-0.701368,0.746081,12.164353,-0.037389,-0.459438,-0.818428,0.491984,120,565,313,1,3,2014-03-10T00:00:00.000000
distance,wavelet,1000,998,-0.057099,0.307645,-1.769449,0.345381,12.392014,-0.059706,-0.497095,-0.850657,0.443888,114,557,327,1,3,2014-03-10T00:00:00.000000
distance,standard,1000,992,0.000360,0.254290,0.012708,-2.786392,29.493075,-0.032047,-0.353753,-0.655545,0.547379,116,568,308,1,4,2015-03-12T00:00:00.000000
distance,wavelet,1000,991,-0.032972,0.250510,-1.147661,-3.063064,31.296073,-0.048386,-0.448382,-0.719831,0.490414,111,551,329,2,4,2015-03-12T00:00:00.000000
distance,standard,1000,997,-0.007153,0.305611,-0.170025,-0.502501,28.855243,-0.037436,-0.385642,-0.655534,0.476429,111,557,329,0,5,2016-03-15T00:00:00.000000
distance,wavelet,1000,997,-0.032919,0.302035,-0.771959,-1.951537,39.833983,-0.054063,-0.414253,-0.717687,0.445336,104,542,351,0,5,2016-03-15T00:00:00.000000
distance,standard,1000,996,0.029624,0.286032,1.229485,3.165029,33.419001,-0.014798,-0.335492,-0.515398,0.559237,137,543,316,3,6,2017-03-15T00:00:00.000000
distance,wavelet,1000,992,0.004358,0.284006,0.180185,3.177761,36.093636,-0.018962,-0.349270,-0.561454,0.518145,132,507,353,7,6,2017-03-15T00:00:00.000000
distance,standard,1000,994,-0.044470,0.243614,-1.485424,-0.482430,7.005424,-0.054013,-0.452327,-0.642475,0.464789,92,484,418,1,7,2018-03-15T00:00:00.000000
distance,wavelet,1000,994,-0.059944,0.233448,-2.019059,-0.569923,7.487803,-0.063184,-0.453047,-0.646262,0.433602,91,467,436,1,7,2018-03-15T00:00:00.000000
